stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+8.92,+9.14,+8.77,+19.20,−8.78,−16.22,−7.91,−9.10,−0.34,−34.82
p,< .001,< .001,< .001,< .001,< .001,< .001,.001,< .001,.916,< .001
sig,***,***,***,***,***,***,**,***,,***

paired ns_fix4p5_6b_jump vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−7.42,−7.41,−7.15,+14.63,−18.79,−12.72,−4.07,−5.14,+4.50,+28.84
p,.034,.041,.032,< .001,< .001,< .001,.021,.003,.233,.034
sig,*,*,*,***,***,***,*,**,,*

paired ns_fix8_6b_jump vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+4.39,+4.37,+3.90,+17.32,−11.43,−14.89,−8.41,−9.07,+3.81,−17.15
p,.012,.020,.047,< .001,< .001,< .001,< .001,< .001,.175,.012
sig,*,*,*,***,***,***,***,***,,*

paired ns_fix15_6b_jump vs ns_dyn_6b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+8.20,+8.29,+7.82,+18.64,−9.07,−15.75,−8.72,−9.67,+0.78,−32.07
p,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,.720,< .001
sig,***,***,***,***,***,***,***,***,,***

paired ns_fix4p5_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−5.88,−5.60,−7.04,+1.95,−8.78,−2.00,−2.66,−1.11,+10.15,+280.61
p,.037,.042,.012,.181,.002,.167,.005,.199,.023,.037
sig,*,*,*,,**,,**,,*,*

paired ns_fix6_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−1.54,−1.49,−3.99,−0.89,−3.28,+0.78,−0.90,+1.47,+16.56,+74.48
p,.027,.067,< .001,.640,.119,.680,.523,.349,< .001,.025
sig,*,,***,,,,,,***,*

paired ns_fix8_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.09,+0.51,−2.46,+0.68,−3.28,−0.86,−1.01,+1.31,+22.32,−3.48
p,.699,.165,< .001,.698,.107,.622,.477,.317,< .001,.756
sig,,,***,,,,,,***,

paired ns_fix11_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.49,+0.67,−1.99,+0.53,−2.67,−0.75,+0.03,+2.31,+24.00,−22.43
p,.071,.096,< .001,.800,.217,.719,.985,.154,< .001,.079
sig,,,***,,,,,,***,

paired ns_fix15_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.80,+0.88,−2.00,+2.08,−4.19,−2.26,+0.08,+2.25,+24.33,−37.70
p,.009,.086,< .001,.205,.032,.167,.949,.065,< .001,.010
sig,**,,***,,*,,,,***,*

paired ns_fix20_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.80,+1.01,−1.75,+3.00,−4.79,−3.13,+1.45,+3.57,+23.44,−36.70
p,.025,.064,.007,.089,.016,.073,.190,.009,< .001,.029
sig,*,,**,,*,,,**,***,*

paired ns_fix28_10b vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.79,+1.36,−1.64,+3.45,−5.10,−3.53,+1.79,+3.95,+25.36,−36.91
p,.013,.003,.002,.055,.010,.045,.130,.007,< .001,.015
sig,*,**,**,,*,*,,**,***,*

paired ns_fix4p5_10b_jump vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,−5.88,−5.60,−7.04,+1.95,−8.78,−2.00,−2.66,−1.11,+10.15,+280.61
p,.037,.042,.012,.181,.002,.167,.005,.199,.023,.037
sig,*,*,*,,**,,**,,*,*

paired ns_fix8_10b_jump vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.09,+0.51,−2.46,+0.68,−3.28,−0.86,−1.01,+1.31,+22.32,−3.48
p,.699,.165,< .001,.698,.107,.622,.477,.317,< .001,.756
sig,,,***,,,,,,***,

paired ns_fix15_10b_jump vs ns_dyn_10b (delta% = (mean_b - mean_a)/mean_a; n=10)
stat,Items,Lines,Orders,Pile-on,Trips,Trips/Orders,m/Line,EOR(kJ/order),TurnoverMedian(s),StationIdle(%)
pct,+0.80,+0.88,−2.00,+2.08,−4.19,−2.26,+0.08,+2.25,+24.33,−37.70
p,.009,.086,< .001,.205,.032,.167,.949,.065,< .001,.010
sig,**,,***,,*,,,,***,*

excel cross-check: {"status": "passed", "checks": 840, "rel_tol": 1e-09}
