time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
339.56,Bot7,66072087,Pod1104,OutputStation1,50,93.68,43.68,43.68,383.24,ReservationEtaImprovement,0,0,hard_deadline,1,3.68,90,,0,,,,0,0,419.53,384.21,502.03,117.82,68.8,0,82.51
340.09,Bot17,17886517,Pod102,OutputStation6,38.29,0,-38.29,0,340.09,ReservationEtaImprovement,0,1,immediate_release,0,0,0,38.29,0,,,,0,0,378.89,340.09,491.54,151.45,113.16,0,112.65
385.98,Bot1,18013478,Pod537,OutputStation0,18.33,9.96,-8.38,0,385.98,ReservationEtaImprovement,0,0,immediate_release,0,9.96,0,18.33,9.96,,,,0,0,411.5,385.98,424.04,38.06,19.73,0,12.55
411.45,Bot9,26935019,Pod181,OutputStation0,35,14.54,-20.46,0,411.45,ReservationEtaImprovement,0,0,immediate_release,1,4.54,10,35,14.54,,,,0,0,441.67,411.45,525.93,114.48,79.48,0,84.25
434.5,Bot5,66903647,Pod905,OutputStation1,45,49.54,4.54,4.54,439.04,ReservationEtaImprovement,0,0,hard_deadline,0,9.54,40,,0,,,,0,0,473.96,439.6,572.22,132.63,88.18,0,98.27
452.99,Bot11,23612164,Pod224,OutputStation3,31.79,0,-31.79,0,452.99,ReservationEtaImprovement,0,1,immediate_release,0,0,0,31.79,0,,,,0,0,483.44,452.99,488.91,35.93,4.14,1,5.48
471.37,Bot16,4781499,Pod924,OutputStation2,63.33,10.29,-53.05,0,471.37,ReservationEtaImprovement,0,0,immediate_release,1,0.29,10,63.33,10.29,,,,0,0,513.78,471.37,521.17,49.79,-13.54,1,7.39
524.02,Bot19,37241850,Pod895,OutputStation3,16.67,15.18,-1.48,0,524.02,ReservationEtaImprovement,0,0,immediate_release,1,5.18,10,16.67,15.18,,,,0,0,534.84,524.02,586.83,62.81,46.14,0,51.99
539.13,Bot8,36293778,Pod74,OutputStation4,18.83,0,-18.83,0,539.13,ReservationEtaImprovement,0,1,immediate_release,0,0,0,18.83,0,,,,0,0,551.06,539.13,558.02,18.89,0.06,1,6.96
560.59,Bot1,63918823,Pod784,OutputStation0,33.33,16.38,-16.95,0,560.59,ReservationEtaImprovement,0,0,immediate_release,1,6.38,10,33.33,16.38,,,,0,0,586.83,560.59,593.68,33.09,-0.24,1,6.86
564.27,Bot13,23444395,Pod215,OutputStation4,28.33,13.75,-14.58,0,564.27,ReservationEtaImprovement,0,0,immediate_release,1,3.75,10,28.33,13.75,,,,0,0,591.77,564.27,,,,,
